Codigo;Descricao dos produtos;Preco_1;Preco_2;Preco_3;Preco_4;Preco_5;Preco_6
00000000000003;CAIXA DE PASSAGEM MALLTON;165.85;138.20;0.00;0.00;0.00
00000000000004;CONDOR ROLO DE ESPUMA COM GARFO 05CM;3.55;2.96;0.00;0.00;0.00
00000000000006;ELETROMAR DISJUNTOR DIN UNIPOLAR CURVA C 25A;8.40;6.99;0.00;0.00;0.00
00000000000007;PINUS TABUA DE 28 X 3M;22.80;18.99;0.00;0.00;0.00
00000000000011;RORATO ARM KIT VERONA SUSP 3 GAV + ESP 55,5 CM AY 578921;373.20;353.20;0.00;0.00;0.00
00000000000012;TAMPA DE FERRO FUNDIDO P/ CX GORDURA 32 CM;43.20;36.00;0.00;0.00;0.00
00000000000015;LEAO TORN COZ. PAR B. ALTA C/ FILTRO ABS GOURMET SOFT 1/4 VOLTA 1/2 C62 3272;164.00;136.90;0.00;0.00;0.00
00000000000019;TOCHA ENGATE FLEXIVEL DE METAL 120 CM;21.60;18.00;0.00;0.00;0.00
00000000000021;FAME CIGARRA SOBREPOR 127V;30.55;25.45;0.00;0.00;0.00
00000000000025;FAME CX VERSATIL 2 C/TOM P/DI 2343;26.70;22.25;25.35;24.77;22.25
00000000000028;FAME REGISTRO P/ MAQ LAVAR 2843;30.20;25.16;0.00;0.00;0.00
00000000000029;FAME CONTROLADOR P/ VENTILADOR 2936;43.95;36.62;0.00;0.00;0.00
00000000000033;FAME CHAVE BOIA REG NIV 16A 3121;60.49;50.49;0.00;0.00;0.00
00000000000034;FAME QUADRO C/BARRAMENTO 12/16 DISJ 3138;99.50;82.90;0.00;0.00;0.00
00000000000035;FAME QUADRO C/BARRMENTO 16/24 DISJ 3139;159.60;132.90;0.00;0.00;0.00
00000000000037;FAME CHAVE BOIA REG NIVEL 25A;69.90;58.49;0.00;0.00;0.00
00000000000050;FAME PLACA 4X4 F00;6.30;5.49;0.00;0.00;0.00
00000000000055;FAME PLACA 4X2 F6 REF: 363 760;4.10;3.40;0.00;0.00;0.00
00000000000057;THELMAR ABRACADEIRA TIPO COPO 1 1/2;2.74;2.30;0.00;0.00;0.00
00000000000058;THELMAR ABRACADEIRA TIPO COPO 1 1/4;2.58;2.15;0.00;0.00;0.00
00000000000060;THELMAR ABRACADEIRA TIPO COPO 1/2;1.95;1.60;0.00;0.00;0.00
00000000000061;THELMAR ABRACADEIRA TIPO COPO 2;3.35;2.80;0.00;0.00;0.00
00000000000062;THELMAR ABRACADEIRA TIPO COPO 3 1/2;2.86;2.40;0.00;0.00;0.00
00000000000063;THELMAR ABRACADEIRA TIPO COPO 3;5.10;4.25;0.00;0.00;0.00
00000000000064;THELMAR ABRACADEIRA TIPO COPO 3/4;2.15;1.80;0.00;0.00;0.00
00000000000065;THELMAR ABRACADEIRA TIPO COPO 4;7.56;6.30;0.00;0.00;0.00
00000000000066;ABRACADEIRA NYLON 140X2,5MM BRANCA;0.12;0.10;0.00;0.00;0.00
00000000000067;ABRACADEIRA NYLON 140X2,5MM PRETO;0.12;0.10;0.00;0.00;0.00
00000000000068;ABRACADEIRA NYLON 150X2,5MM BRANCO;0.12;0.10;0.00;0.00;0.00
00000000000069;ABRACADEIRA NYLON 150X2,5MM PRETO;0.12;0.10;0.00;0.00;0.00
00000000000070;ABRACADEIRA NYLON 200X2,5 MM BRANCA;0.17;0.15;0.00;0.00;0.00
00000000000071;ABRACADEIRA NYLON 200X2,5MM PRETO;0.17;0.15;0.00;0.00;0.00
00000000000072;ABRACADEIRA NYLON 280X3,5 MM BRANCA;0.36;0.30;0.00;0.00;0.00
00000000000073;ABRACADEIRA NYLON 280X3,5 PRETO;0.36;0.30;0.00;0.00;0.00
00000000000074;ABRACADEIRA NYLON 300X3,6MM BRANCA;0.60;0.50;0.00;0.00;0.00
00000000000075;ABRACADEIRA NYLON 300X3,6MM PRETO;0.60;0.50;0.00;0.00;0.00
00000000000076;ABRACADEIRA NYLON 370X3,6MM BRANCA;0.43;0.35;0.00;0.00;0.00
00000000000077;ABRACADEIRA NYLON 370X3,6MM PRETO;0.43;0.35;0.00;0.00;0.00
00000000000078;ABRACADEIRA NYLON 380X4,8 MM BRANCO;0.36;0.30;0.00;0.00;0.00
00000000000079;ABRACADEIRA NYLON 400X4,8 MM;0.60;0.50;0.00;0.00;0.00
00000000000080;ABRACADEIRA NYLON 450X4,8MM BRANCA;0.72;0.60;0.00;0.00;0.00
00000000000081;ABRACADEIRA NYLON 450X4,8MM PRETO;0.72;0.60;0.00;0.00;0.00
00000000000082;ABRACADEIRA NYLON 600X9,0MM BRANCA;3.27;2.72;0.00;0.00;0.00
00000000000083;ABRACADEIRA NYLON 760X9,0 PRETO;3.00;2.00;0.00;0.00;0.00
00000000000084;ABRACADEIRA NYLON 760X9MM BRANCA;3.00;2.50;0.00;0.00;0.00
00000000000085;ABRACADEIRA NYLON 900X9,00MM BRANCA;3.60;3.00;0.00;0.00;0.00
00000000000086;ABRACADEIRA S/FIM 1 - 16X27;1.68;1.40;0.00;0.00;0.00
00000000000087;ABRACADEIRA S/FIM 1 1/2 - 25X38;3.15;2.62;0.00;0.00;0.00
00000000000088;ABRACADEIRA S/FIM 1 1/4 - 22X32;3.00;2.50;0.00;0.00;0.00
00000000000089;ABRACADEIRA S/FIM 1/2 -8X13;1.20;1.00;0.00;0.00;0.00
00000000000090;ABRACADEIRA S/FIM 2 1/2 - 51X64;3.79;3.15;0.00;0.00;0.00
00000000000091;ABRACADEIRA S/FIM 2 - 38X51;3.36;2.95;0.00;0.00;0.00
00000000000092;ABRACADEIRA S/FIM 3 1/4 - 64X83;4.69;3.90;0.00;0.00;0.00
00000000000093;ABRACADEIRA S/FIM 3/4 - 13X19;2.70;2.20;0.00;0.00;0.00
00000000000094;ABRACADEIRA S/FIM 4 - 83X102;5.11;4.42;0.00;0.00;0.00
00000000000095;SUPRENS KIT DE ABRACADEIRA ACO CARBONO;25.64;21.45;0.00;0.00;0.00
00000000000096;THELMAR ABRACADEIRA TIPO U 1 1/4;1.45;1.20;0.00;0.00;0.00
00000000000097;THELMAR ABRACADEIRA TIPO U 1/2;0.60;0.50;0.00;0.00;0.00
00000000000098;THELMAR ABRACADEIRA TIPO U 3/4;0.85;0.70;0.00;0.00;0.00
00000000000099;THELMAR ABRACADEIRA TIPO U 4;3.60;3.00;0.00;0.00;0.00
00000000000100;BIC ACENDEDOR MULTIUSO;18.75;15.60;0.00;0.00;0.00
00000000000101;ASTRA CAIXA DE DESCARGA BAIXA C/ DUPLO ACION.;178.75;148.95;0.00;0.00;0.00
00000000000111;ACQUABIOS REFIL ACQUA E 05  VERDE;18.07;15.05;0.00;0.00;0.00
00000000000112;ACQUABIOS REFIL ACQUA E 05 AMARELO;18.07;15.06;0.00;0.00;0.00
00000000000113;ACQUABIOS REFIL ACQUA E 05 AZUL;18.07;15.06;0.00;0.00;0.00
00000000000114;ACQUABIOS REFIL ACQUA E 05 BRANCA;18.07;15.06;0.00;0.00;0.00
00000000000115;ACQUABIOS REFIL ACQUA E 05 LARANJA;18.07;15.06;0.00;0.00;0.00
00000000000116;ACQUABIOS REFIL ACQUA E 05 MARINE;18.07;15.06;0.00;0.00;0.00
00000000000117;ACQUABIOS REFIL ACQUA E 05 PRETA;18.07;15.05;0.00;0.00;0.00
00000000000119;ACQUABIOS VELA UNIVERSAL RV01;15.65;13.04;0.00;0.00;0.00
00000000000136;MAX ADAPT.  P/DISCO BORRACHA C/SUPORTE ;17.34;14.45;0.00;0.00;0.00
00000000000151;GUEPAR ADAPTADOR SDS P/MANDRIL 1/2 ;4.00;8.00;0.00;0.00;0.00
00000000000152;GUEPAR ADAPTADOR SDS P/MANDRIL 3/8 - 24 FIOS;9.55;7.95;0.00;0.00;0.00
00000000000165;BRASCOLA ADESIVO P/TUBO 17 GR;2.38;2.00;0.00;0.00;0.00
00000000000167;CASCOLA HENKEL BISNAGA 30 G;9.80;8.49;0.00;0.00;0.00
00000000000170;CASCOLA ADESIVO MONTA E FIXA 85 G;20.70;17.25;0.00;0.00;0.00
00000000000172;TIGRE ADESIVO P/ TUBO 17G;4.39;3.90;0.00;0.00;0.00
00000000000173;TIGRE ADESIVO P/ TUBO 175G;20.00;16.70;0.00;0.00;0.00
00000000000174;TIGRE ADESIVO P/ TUBO 75G;8.90;7.40;0.00;0.00;0.00
00000000000181;BRASILIT AERADOR SHINGLE 1000X280MM;92.72;77.27;88.05;86.01;77.27
00000000000185;AFORT CASA PARA CAO  MEDIA;147.84;123.20;0.00;0.00;0.00
00000000000186;AFORT CASA PARA CAO MINI;60.72;50.60;0.00;0.00;0.00
00000000000187;AFORT CASA PARA CAO PEQUENA;103.92;86.60;0.00;0.00;0.00
00000000000188;AFORT MASSEIRA 160L;180.60;154.49;0.00;0.00;0.00
00000000000189;AFORT MASSEIRA 350L;419.29;349.49;0.00;0.00;0.00
